Major_code,Major,Total,Men,Women
2419,PETROLEUM ENGINEERING,2339,2057,282
2416,MINING AND MINERAL ENGINEERING,756,679,77
2415,METALLURGICAL ENGINEERING,856,725,131
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,1258,1123,135
2405,CHEMICAL ENGINEERING,32260,21239,11021
2418,NUCLEAR ENGINEERING,2573,2200,373
6202,ACTUARIAL SCIENCE,3777,2110,1667
5001,ASTRONOMY AND ASTROPHYSICS,1792,832,960
2414,MECHANICAL ENGINEERING,91227,80320,10907
2408,ELECTRICAL ENGINEERING,81527,65511,16016
2407,COMPUTER ENGINEERING,41542,33258,8284
2401,AEROSPACE ENGINEERING,15058,12953,2105
2404,BIOMEDICAL ENGINEERING,14955,8407,6548
5008,MATERIALS SCIENCE,4279,2949,1330
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,4321,3526,795
2402,BIOLOGICAL ENGINEERING,8925,6062,2863
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,18968,12453,6515
2400,GENERAL ENGINEERING,61152,45683,15469
2403,ARCHITECTURAL ENGINEERING,2825,1835,990
3201,COURT REPORTING,1148,877,271
2102,COMPUTER SCIENCE,128319,99743,28576
1104,FOOD SCIENCE,3600,2695,905
2502,ELECTRICAL ENGINEERING TECHNOLOGY,11565,8181,3384
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,2993,2020,973
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,18713,13496,5217
2406,CIVIL ENGINEERING,53153,41081,12072
5601,CONSTRUCTION SERVICES,18498,16820,1678
6204,OPERATIONS LOGISTICS AND E-COMMERCE,11732,7921,3811
2499,MISCELLANEOUS ENGINEERING,9133,7398,1735
5402,PUBLIC POLICY,5978,2639,3339
2410,ENVIRONMENTAL ENGINEERING,4047,2662,1385
2500,ENGINEERING TECHNOLOGIES,3600,2695,905
6099,MISCELLANEOUS FINE ARTS,3340,1970,1370
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,720,488,232
6107,NURSING,209394,21773,187621
6207,FINANCE,174506,115030,59476
5501,ECONOMICS,139247,89749,49498
6205,BUSINESS ECONOMICS,13302,7575,5727
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,4631,3477,1154
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",2116,528,1588
6201,ACCOUNTING,198633,94519,104114
3700,MATHEMATICS,72397,39956,32441
2100,COMPUTER AND INFORMATION SYSTEMS,36698,27392,9306
5007,PHYSICS,32142,23080,9062
6105,MEDICAL TECHNOLOGIES TECHNICIANS,15914,3916,11998
2105,INFORMATION SCIENCES,11913,9005,2908
3702,STATISTICS AND DECISION SCIENCE,6251,2960,3291
3701,APPLIED MATHEMATICS,4939,2794,2145
3607,PHARMACOLOGY,1762,515,1247
5006,OCEANOGRAPHY,2418,752,1666
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,2906,2400,506
6104,MEDICAL ASSISTING SERVICES,11123,803,10320
4005,MATHEMATICS AND COMPUTER SCIENCE,609,500,109
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,4168,3046,1122
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,3831,1667,2164
2303,SCHOOL STUDENT COUNSELING,818,119,699
5505,INTERNATIONAL RELATIONS,28187,10345,17842
6200,GENERAL BUSINESS,234590,132238,102352
1401,ARCHITECTURE,46420,25463,20957
6210,INTERNATIONAL BUSINESS,25894,10624,15270
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,23551,8697,14854
